name,city,country,visitors_count,visitors_year,population
Louvre,Paris,France,8700000,2024,2138551
Vatican Museums,"Vatican City, Rome",Vatican,6825436,2024,2318895
National Museum of China,Beijing,China,6300000,2024,18960744
British Museum,London,United Kingdom,6479952,2024,8961989
"Natural History Museum, South Kensington",London,United Kingdom,6301972,2024,8961989
Metropolitan Museum of Art,New York City,United States,5727258,2024,8804190
American Museum of Natural History,New York City,United States,5400000,2024,8804190
Galleria degli Uffizi,Florence,Italy,2908828,2024,367150
Musée d'Orsay,Paris,France,3751000,2024,2138551
Tate Modern,London,United Kingdom,4603025,2024,8961989
National Gallery of Art,"Washington, D.C.",United States,3936543,2024,689545
State Hermitage Museum,Saint Petersburg,Russia,3563590,2024,5351935
Prado Museum,Madrid,Spain,3457057,2024,3255944
Victoria and Albert Museum,"London, South Kensington",United Kingdom,3525700,2024,8961989
National Air and Space Museum[a],"Washington, D.C.",United States,3100000,2024,689545
National Gallery,London,United Kingdom,3203451,2024,8961989
National Museum of Natural Science,Taichung,Taiwan,2854455,2024,1040725
National Museum of Anthropology,Mexico City,Mexico,3700000,2024,12294193
Centre Pompidou,Paris,France,3204369,2024,2138551
Smithsonian Museum of American History,"Washington, D.C.",United States,2100000,2024,689545
London Science Museum,London,United Kingdom,2827242,2024,8961989
Cité des Sciences et de l'Industrie,Paris,France,1992823,2024,2138551
National Museum of Scotland,Edinburgh,United Kingdom,2314974,2024,506520
National Science and Technology Museum,Kaohsiung,Taiwan,1875372,2024,1519711
National Museum of Modern and Contemporary Art,Seoul,South Korea,1806641,2024,10349312
National Palace Museum,Taipei,Taiwan,1874994,2024,7871900
California Science Center,Los Angeles,United States,1694000,2024,3898747
Art Gallery of NSW,Sydney,Australia,1692028,2024,5231147
Royal Museums Greenwich,London,United Kingdom,2255753,2024,8961989
Zhejiang Museum of Natural History,Hangzhou,China,1581263,2024,9236032
National Gallery of Victoria,Melbourne,Australia,1580303,2024,4917750
Jianchuan Museum Cluster,Chengdu,China,1538143,2024,13568357
Houston Museum of Natural Science,Houston,United States,1520000,2024,2304580
Tokyo Metropolitan Art Museum,Tokyo,Japan,1509970,2024,9733276
Changzhou Museum,Changzhou,China,1508229,2024,3290918
Humboldt Forum,Berlin,Germany,1500000,2024,3426354
Kaohsiung Museum of Fine Arts,Kaohsiung,Taiwan,1461406,2024,1519711
Acropolis Museum,Athens,Greece,1451727,2024,664046
China Science and Technology Museum,Beijing,China,1431189,2024,18960744
Suzhou Museum,Suzhou,China,1417412,2024,6715559
Chengdu Museum,Chengdu,China,1404735,2024,13568357
Shanghai Science and Technology Museum,Shanghai,China,1403179,2024,24874500
"The National Art Center, Tokyo",Tokyo,Japan,1400096,2024,9733276
Tokyo National Museum,Tokyo,Japan,1372132,2024,9733276
National Museum in Kraków,Kraków,Poland,1600000,2024,755050
Centro Cultural Banco do Brasil,São Paulo,Brazil,1364208,2024,12400232
Van Gogh Museum,Amsterdam,Netherlands,1364023,2024,741636
Kunsthistorisches Museum,Vienna,Austria,1688509,2024,1691468
Museo Nazionale di Castel Sant'Angelo,Rome,Italy,1321834,2024,2318895
Tianjin Natural History Museum,Tianjin,China,1320752,2024,11090314
Palacio de Cristal del Retiro,Madrid,Spain,1318823,2024,3255944
Scottish National Gallery,Edinburgh,United Kingdom,1277230,2024,506520
Museo Reina Sofía,Madrid,Spain,1253183,2024,3255944
